procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  95676 389190240      0 1025104  144    0   144     0  544 1113  0  0 100  0  0
 0  0  95420 389190240      0 1025076  120    0   120     8  690 1278  0  0 100  0  0
 0  0  95420 389189984      0 1025084    8    0     8   148  601 1182  0  0 100  0  0
 0  0  95420 389189984      0 1025092    0    0     0     0  550 1160  0  0 100  0  0
 0  0  95164 389189728      0 1025104 5788    0  5788     0 1713 3026  0  0 100  0  0
 0  0  94908 389189984      0 1025108   80    0    80     0  799 1502  0  0 100  0  0
 0  0  94908 389189984      0 1025108    0    0     0     0  547 1103  0  0 100  0  0
 0  0  94652 389189568      0 1025684   88    0    88     0 1673 1852  1  0 99  0  0
 0  0  94652 389190464      0 1025704    0    0     0    24  580 1177  0  0 100  0  0
 0  0  92860 389190208      0 1025680    0    0     0     0  648 1304  0  0 100  0  0
 0  0  92860 389190464      0 1025684    0    0     0     4  611 1209  0  0 100  0  0
 0  0  92860 389190464      0 1025692    4    0     4     0  692 1298  0  0 100  0  0
 0  0  92860 389190976      0 1025704   12    0    12   588  662 1194  0  0 100  0  0
 0  0  92860 389190720      0 1025712    8    0     8     0  701 1263  0  0 100  0  0
 0  0  92860 389190720      0 1025716    4    0     4    24  720 1300  0  0 100  0  0
 3  0  92860 389112608      0 1025724    0    0     0     0 3106 4539  3  0 97  0  0
 2  0  92860 389029728      0 1025900    0    0     0     0 3359 4959  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  92860 389014880      0 1025904   76    0    92   576 2848 2995  2  0 98  0  0
 8  0  92860 388995712      0 1026156    0    0     0   264 17380 73708  5  1 94  0  0
12  0  92860 388998720      0 1026164    8    0     8   100 57977 262945  9  4 87  0  0
 7  0  92860 388995584      0 1026176   28    0    28    16 61086 282097  8  4 87  0  0
 9  0  92860 388999488      0 1026180   72    0    72     8 59877 284859  7  4 89  0  0
 5  0  92860 388998144      0 1026192   36    0    36   124 59040 288258  7  4 89  0  0
 6  0  92860 388995584      0 1026200    0    0     0     0 57249 284843  6  4 89  0  0
 7  0  92348 388993120      0 1026308   12    0   116     0 55630 275554  7  4 89  0  0
 8  0  92348 388996832      0 1026316    0    0     0    12 59971 294022  6  4 90  0  0
 6  0  92348 388995584      0 1026320    0    0     0    12 59453 290644  6  4 89  0  0
 9  0  92348 388992608      0 1026448   44    0    44     0 53589 272576  7  4 89  0  0
10  0  92348 388990976      0 1026456    0    0     0     0 56522 280828  6  4 90  0  0
 8  0  92348 388988384      0 1026464    0    0     0     0 54002 277291  6  4 89  0  0
 8  0  92348 388990976      0 1026468    0    0     0     0 57453 282073  6  4 90  0  0
13  0  92348 388987104      0 1026480    0    0     0     4 56000 280008  6  4 90  0  0
 7  0  92348 388988256      0 1026488    0    0     0   152 55386 280514  6  4 89  0  0
 6  0  92348 388990336      0 1026492    0    0     0     0 58391 288262  6  4 89  0  0
11  0  92348 388987232      0 1026500   12    0    12     0 55710 281247  6  4 90  0  0
 8  0  92348 388985664      0 1026504   52    0    52     4 56932 285606  6  4 89  0  0
10  0  92348 388984640      0 1026516    0    0     0     0 54001 277733  6  4 90  0  0
 9  0  92348 388982560      0 1026520   68    0    68     4 52475 265661  7  4 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0  92348 388981312      0 1026528    0    0     0    16 57342 285637  6  4 89  0  0
 8  0  92348 388986240      0 1026536    8    0     8     0 59343 289842  6  4 90  0  0
11  0  92348 388988896      0 1026656    0    0     0     0 56640 283208  6  4 90  0  0
 8  0  92348 388987648      0 1026664    0    0     0     0 57634 284762  6  4 90  0  0
 7  0  92348 388990304      0 1026668    0    0     0   124 56419 283731  6  4 90  0  0
 6  0  92348 388989792      0 1026676    0    0     0     8 56909 287096  6  4 89  0  0
14  0  92348 388987424      0 1026684    0    0     0    12 57850 288441  6  4 90  0  0
11  0  92348 388983232      0 1026692    0    0     0     4 56036 282213  6  4 90  0  0
 8  0  92348 388989312      0 1026696    0    0     0     0 56688 282487  6  4 90  0  0
 8  0  92092 388988512      0 1026884   96    0   160   252 59331 288163  7  4 89  0  0
 6  0  92092 388984928      0 1026892    0    0     8   288 55720 282747  6  4 90  0  0
11  0  92092 388989216      0 1026900    0    0     0     4 59403 290560  6  4 90  0  0
 6  0  92092 388986688      0 1026908    4    0     4   200 58276 286353  6  4 90  0  0
11  0  92092 388983968      0 1026916    0    0     0     0 58527 286238  6  4 89  0  0
10  0  92092 388984768      0 1026928   12    0    12   128 55523 275515  6  4 90  0  0
11  0  92092 388983360      0 1026932    0    0     0   112 59197 289101  6  4 90  0  0
 0  0  92092 388986816      0 1027164    0    0    76     0 31078 151419  4  2 94  0  0
 0  0  92092 388986048      0 1027008    0    0     0     4 1396 1726  1  0 99  0  0
 0  0  92092 389122400      0 1026880  204    0   204     8 1132 1709  0  0 100  0  0
 0  0  92092 389120192      0 1026888    4    0     4     0 1805 1895  0  0 100  0  0
 0  0  92092 389119680      0 1026892    0    0    36     0  966 1362  0  0 100  0  0
